FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
51175,Southampton County,Virginia,0.3975,-0.1092928989641195,-0.014712505629785318,0.2920457066785001,0.2526149926243798,0.04559440559440559,0.04830638953040801,0.023668639053254437,0.0892728581713463,0.0,0.00046471100784199824
51177,Spotsylvania County,Virginia,0.3982,0.1361379943267145,0.1764975805105957,0.4990577141082943,0.2919592647511401,0.04412817265870175,0.07539525256528824,0.2016474913200354,0.08606220174428172,0.07737226277372262,0.0149081687543226
51179,Stafford County,Virginia,0.3743,0.28854434090036185,0.24475934423578402,0.40351093356851964,0.31665260554509,0.04676854655563967,0.05347018935042799,0.1883347746708946,0.03525377229080933,0.0981556073775705,0.0244947101113333
51181,Surry County,Virginia,0.4298,-0.16286764705882353,-0.06875,0.1001066585403017,0.20294083127944607,0.07914262159934048,0.11636107193229901,0.027932960893854747,0.19483870967741934,0.0,0.0004793097938967886
51183,Sussex County,Virginia,0.3984,-0.18271334792122537,-0.09108315098468271,-0.1707116788321168,-0.10082314791718638,0.06659267480577137,0.09389489953632148,0.5535714285714286,0.05249110320284697,0.061224489795918366,0.002565564424173318
51193,Westmoreland County,Virginia,0.4894,-0.16029467801346373,0.02286294932046234,0.3781925343811395,0.22428816345287117,0.011458034947006588,0.09834657504831437,0.3548387096774194,0.204311152764761,0.0,0.01730758209639521
51199,York County,Virginia,0.3789,0.14711095356256645,0.18102327779747135,0.5607524951532994,0.31932575460603685,0.016712297513118868,0.0448312865148444,0.03134328358208955,0.050559469539991714,0.08752584424534804,0.012662840484649723
51550,Chesapeake City,Virginia,0.4093,0.06710433605851499,0.08136400747094942,0.26958150599582476,0.2872516556291391,0.03773763508716573,0.08635117381618782,0.13835198372329605,0.11420794774088187,0.14242697982535382,0.013533107781536975
51570,Colonial Heights City,Virginia,0.4136,-0.08198258539852646,0.05532484929671802,0.5409058310807083,0.22281489483812156,0.0893463017416874,0.08394403730846102,0.16777408637873753,0.16378162450066577,0.164804469273743,0.014833489681050657
51590,Danville City,Virginia,0.49,-0.3590102205486821,-0.20231307154384076,-0.08003571764263559,0.21158741242988754,0.03371462974111981,0.08939800146234463,0.29534192269573833,0.2552798851753127,0.08051948051948052,0.012767863809452698
51595,Emporia City,Virginia,0.4377,-0.40133928571428573,-0.33169642857142856,-0.43968061100503386,0.2742129402858797,0.08855421686746988,0.0995850622406639,0.036036036036036036,0.16339193381592554,0.4777777777777778,0.004992603550295858
51620,Franklin City,Virginia,0.4161,-0.2795048934945308,-0.2058146229130685,-0.1574736331676567,0.28476381833345965,0.013615023474178404,0.04741181859825928,0.20164609053497942,0.20491803278688525,0.0,0.0018307833137177977
51630,Fredericksburg City,Virginia,0.4614,0.020807287015538488,0.10564386497588855,0.38027616227209476,0.20119851112792875,0.0904857985410523,0.11638749784147816,0.2858942065491184,0.14306049822064057,0.11900532859680284,0.0314455749664043
51650,Hampton City,Virginia,0.4443,-0.13919041949716365,-0.09295118705791722,-0.11558487144236113,0.24397780869942354,0.025274795501022494,0.07585817421432606,0.11255752794214333,0.14787039157316234,0.129084092126406,0.0073357630128025415
