FIPS,Tract,County,State,measure,value
51041101014,Census Tract 1010.14,Chesterfield County,Virginia,PM25,8.00834383561644
51041101015,Census Tract 1010.15,Chesterfield County,Virginia,PM25,8.00834383561644
51049930101,Census Tract 9301.01,Cumberland County,Virginia,PM25,7.31044219178082
51049930102,Census Tract 9301.02,Cumberland County,Virginia,PM25,7.31044219178082
51049930200,Census Tract 9302,Cumberland County,Virginia,PM25,7.29945863013699
51053840101,Census Tract 8401.01,Dinwiddie County,Virginia,PM25,7.56243945205479
51053840102,Census Tract 8401.02,Dinwiddie County,Virginia,PM25,7.56243945205479
51053840200,Census Tract 8402,Dinwiddie County,Virginia,PM25,7.7309301369863
51053840300,Census Tract 8403,Dinwiddie County,Virginia,PM25,7.89126575342466
51053840400,Census Tract 8404,Dinwiddie County,Virginia,PM25,7.92967835616438
51053840500,Census Tract 8405,Dinwiddie County,Virginia,PM25,7.80340739726027
51053840601,Census Tract 8406.01,Dinwiddie County,Virginia,PM25,7.61615397260274
51053840602,Census Tract 8406.02,Dinwiddie County,Virginia,PM25,7.61615397260274
51053980100,Census Tract 9801,Dinwiddie County,Virginia,PM25,7.58481726027397
51057950600,Census Tract 9506,Essex County,Virginia,PM25,7.11678054794521
51057950700,Census Tract 9507,Essex County,Virginia,PM25,7.02695479452055
51057950800,Census Tract 9508,Essex County,Virginia,PM25,6.98243890410959
51073100101,Census Tract 1001.01,Gloucester County,Virginia,PM25,6.98832657534247
51073100102,Census Tract 1001.02,Gloucester County,Virginia,PM25,6.98832657534247
51073100201,Census Tract 1002.01,Gloucester County,Virginia,PM25,6.86268246575342
51073100202,Census Tract 1002.02,Gloucester County,Virginia,PM25,6.9705402739726
51073100203,Census Tract 1002.03,Gloucester County,Virginia,PM25,6.8544295890411
51073100301,Census Tract 1003.01,Gloucester County,Virginia,PM25,6.96453287671233
51073100302,Census Tract 1003.02,Gloucester County,Virginia,PM25,6.98241424657534
51073100400,Census Tract 1004,Gloucester County,Virginia,PM25,6.87854438356164
51073100500,Census Tract 1005,Gloucester County,Virginia,PM25,6.8481298630137
51075400101,Census Tract 4001.01,Goochland County,Virginia,PM25,7.95279260273973
51075400102,Census Tract 4001.02,Goochland County,Virginia,PM25,7.95279260273973
51075400200,Census Tract 4002,Goochland County,Virginia,PM25,7.71999287671233
51075400300,Census Tract 4003,Goochland County,Virginia,PM25,7.64060246575342
51075400400,Census Tract 4004,Goochland County,Virginia,PM25,7.45359424657534
51075400500,Census Tract 4005,Goochland County,Virginia,PM25,7.33785917808219
51081880101,Census Tract 8801.01,Greensville County,Virginia,PM25,7.57492410958904
51081880102,Census Tract 8801.02,Greensville County,Virginia,PM25,7.51045260273973
51081880200,Census Tract 8802,Greensville County,Virginia,PM25,7.62606273972603
51083930100,Census Tract 9301,Halifax County,Virginia,PM25,7.50969835616438
51083930202,Census Tract 9302.02,Halifax County,Virginia,PM25,7.54189917808219
51083930203,Census Tract 9302.03,Halifax County,Virginia,PM25,7.44425589041096
51083930204,Census Tract 9302.04,Halifax County,Virginia,PM25,7.44425589041096
51083930301,Census Tract 9303.01,Halifax County,Virginia,PM25,7.67049315068493
51083930302,Census Tract 9303.02,Halifax County,Virginia,PM25,7.75654794520548
51083930400,Census Tract 9304,Halifax County,Virginia,PM25,7.69928410958904
51083930500,Census Tract 9305,Halifax County,Virginia,PM25,7.59816630136986
51083930601,Census Tract 9306.01,Halifax County,Virginia,PM25,7.67013643835616
51083930602,Census Tract 9306.02,Halifax County,Virginia,PM25,7.67013643835616
51083930800,Census Tract 9308,Halifax County,Virginia,PM25,7.69154684931507
51085320100,Census Tract 3201,Hanover County,Virginia,PM25,7.57053561643836
51085320200,Census Tract 3202,Hanover County,Virginia,PM25,7.60254301369863
51085320300,Census Tract 3203,Hanover County,Virginia,PM25,7.78231287671233
51085320400,Census Tract 3204,Hanover County,Virginia,PM25,7.96549945205479
51085320500,Census Tract 3205,Hanover County,Virginia,PM25,7.85054712328767
51085320601,Census Tract 3206.01,Hanover County,Virginia,PM25,7.86487369863014
51085320602,Census Tract 3206.02,Hanover County,Virginia,PM25,7.94981178082192
51085320701,Census Tract 3207.01,Hanover County,Virginia,PM25,7.90156849315068
51085320702,Census Tract 3207.02,Hanover County,Virginia,PM25,7.84376767123288
51085320801,Census Tract 3208.01,Hanover County,Virginia,PM25,8.00778712328767
51085320803,Census Tract 3208.03,Hanover County,Virginia,PM25,8.07236657534247
51085320804,Census Tract 3208.04,Hanover County,Virginia,PM25,8.08370657534247
51085320805,Census Tract 3208.05,Hanover County,Virginia,PM25,8.14054630136986
51085320901,Census Tract 3209.01,Hanover County,Virginia,PM25,8.08432301369863
51085320902,Census Tract 3209.02,Hanover County,Virginia,PM25,8.08432301369863
51085321001,Census Tract 3210.01,Hanover County,Virginia,PM25,8.10069835616438
51085321003,Census Tract 3210.03,Hanover County,Virginia,PM25,7.96709068493151
51085321004,Census Tract 3210.04,Hanover County,Virginia,PM25,7.96709068493151
51085321100,Census Tract 3211,Hanover County,Virginia,PM25,8.17121123287671
51085321201,Census Tract 3212.01,Hanover County,Virginia,PM25,8.08277397260274
51085321202,Census Tract 3212.02,Hanover County,Virginia,PM25,8.13659561643836
51085321300,Census Tract 3213,Hanover County,Virginia,PM25,8.00161534246575
51085321401,Census Tract 3214.01,Hanover County,Virginia,PM25,7.75263589041096
51085321402,Census Tract 3214.02,Hanover County,Virginia,PM25,7.85433589041096
51085321403,Census Tract 3214.03,Hanover County,Virginia,PM25,7.64948301369863
51087200106,Census Tract 2001.06,Henrico County,Virginia,PM25,8.22224657534247
51087200108,Census Tract 2001.08,Henrico County,Virginia,PM25,8.25532136986301
51087200109,Census Tract 2001.09,Henrico County,Virginia,PM25,8.27984904109589
51087200122,Census Tract 2001.22,Henrico County,Virginia,PM25,8.10380493150685
51087200123,Census Tract 2001.23,Henrico County,Virginia,PM25,8.09314684931507
51087200124,Census Tract 2001.24,Henrico County,Virginia,PM25,8.13355342465753
51087200125,Census Tract 2001.25,Henrico County,Virginia,PM25,8.19175342465753
51087200126,Census Tract 2001.26,Henrico County,Virginia,PM25,8.19368356164384
51087200127,Census Tract 2001.27,Henrico County,Virginia,PM25,8.15263534246575
51087200131,Census Tract 2001.31,Henrico County,Virginia,PM25,8.24319945205479
51087200132,Census Tract 2001.32,Henrico County,Virginia,PM25,8.24319945205479
51087200133,Census Tract 2001.33,Henrico County,Virginia,PM25,8.21919178082192
51087200134,Census Tract 2001.34,Henrico County,Virginia,PM25,8.21919178082192
51087200135,Census Tract 2001.35,Henrico County,Virginia,PM25,8.16505150684931
51087200136,Census Tract 2001.36,Henrico County,Virginia,PM25,8.16505150684931
51087200137,Census Tract 2001.37,Henrico County,Virginia,PM25,8.18933260273973
51087200138,Census Tract 2001.38,Henrico County,Virginia,PM25,8.18933260273973
51087200139,Census Tract 2001.39,Henrico County,Virginia,PM25,8.03936575342466
51087200140,Census Tract 2001.40,Henrico County,Virginia,PM25,8.03936575342466
51087200141,Census Tract 2001.41,Henrico County,Virginia,PM25,8.07780410958904
51087200142,Census Tract 2001.42,Henrico County,Virginia,PM25,8.07780410958904
51087200143,Census Tract 2001.43,Henrico County,Virginia,PM25,8.11283232876712
51087200144,Census Tract 2001.44,Henrico County,Virginia,PM25,8.11283232876712
51087200145,Census Tract 2001.45,Henrico County,Virginia,PM25,7.96336520547945
51087200146,Census Tract 2001.46,Henrico County,Virginia,PM25,7.96336520547945
51087200147,Census Tract 2001.47,Henrico County,Virginia,PM25,8.03352082191781
51087200148,Census Tract 2001.48,Henrico County,Virginia,PM25,8.03352082191781
51087200149,Census Tract 2001.49,Henrico County,Virginia,PM25,8.03352082191781
51087200150,Census Tract 2001.50,Henrico County,Virginia,PM25,8.12483178082192
51087200151,Census Tract 2001.51,Henrico County,Virginia,PM25,8.12483178082192
51087200152,Census Tract 2001.52,Henrico County,Virginia,PM25,8.20338383561644
51087200153,Census Tract 2001.53,Henrico County,Virginia,PM25,8.20338383561644
51087200201,Census Tract 2002.01,Henrico County,Virginia,PM25,8.26737835616438
51087200202,Census Tract 2002.02,Henrico County,Virginia,PM25,8.29186356164383
51087200301,Census Tract 2003.01,Henrico County,Virginia,PM25,8.32885945205479
51087200302,Census Tract 2003.02,Henrico County,Virginia,PM25,8.3127898630137
51087200303,Census Tract 2003.03,Henrico County,Virginia,PM25,8.28206849315069
51087200305,Census Tract 2003.05,Henrico County,Virginia,PM25,8.24156219178082
51087200404,Census Tract 2004.04,Henrico County,Virginia,PM25,8.29938575342466
51087200407,Census Tract 2004.07,Henrico County,Virginia,PM25,8.17776136986301
51087200409,Census Tract 2004.09,Henrico County,Virginia,PM25,8.25046191780822
51087200411,Census Tract 2004.11,Henrico County,Virginia,PM25,8.20376657534247
51087200412,Census Tract 2004.12,Henrico County,Virginia,PM25,8.23523890410959
51087200413,Census Tract 2004.13,Henrico County,Virginia,PM25,8.15542410958904
51087200414,Census Tract 2004.14,Henrico County,Virginia,PM25,8.12206383561644
51087200415,Census Tract 2004.15,Henrico County,Virginia,PM25,8.11960712328767
51087200416,Census Tract 2004.16,Henrico County,Virginia,PM25,8.11960712328767
51087200417,Census Tract 2004.17,Henrico County,Virginia,PM25,8.26860739726027
51087200418,Census Tract 2004.18,Henrico County,Virginia,PM25,8.26860739726027
51087200501,Census Tract 2005.01,Henrico County,Virginia,PM25,8.30599917808219
51087200502,Census Tract 2005.02,Henrico County,Virginia,PM25,8.31995150684932
51087200503,Census Tract 2005.03,Henrico County,Virginia,PM25,8.25985863013699
51087200600,Census Tract 2006,Henrico County,Virginia,PM25,8.29788630136986
51087200700,Census Tract 2007,Henrico County,Virginia,PM25,8.29876273972603
51087200801,Census Tract 2008.01,Henrico County,Virginia,PM25,8.27700547945205
51087200802,Census Tract 2008.02,Henrico County,Virginia,PM25,8.27430273972603
51087200805,Census Tract 2008.05,Henrico County,Virginia,PM25,8.26715452054795
51087200806,Census Tract 2008.06,Henrico County,Virginia,PM25,8.25973150684931
51087200807,Census Tract 2008.07,Henrico County,Virginia,PM25,8.25973150684931
51087200904,Census Tract 2009.04,Henrico County,Virginia,PM25,8.2145
51087200905,Census Tract 2009.05,Henrico County,Virginia,PM25,8.22277589041096
51087200906,Census Tract 2009.06,Henrico County,Virginia,PM25,8.17162547945206
51087200907,Census Tract 2009.07,Henrico County,Virginia,PM25,8.16307123287671
51087200908,Census Tract 2009.08,Henrico County,Virginia,PM25,8.16307123287671
51087201001,Census Tract 2010.01,Henrico County,Virginia,PM25,8.20769123287671
51087201002,Census Tract 2010.02,Henrico County,Virginia,PM25,8.24994630136986
51087201003,Census Tract 2010.03,Henrico County,Virginia,PM25,8.24535123287671
51087201102,Census Tract 2011.02,Henrico County,Virginia,PM25,8.26442136986301
51087201103,Census Tract 2011.03,Henrico County,Virginia,PM25,8.2279095890411
