FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
51133,Northumberland County,Virginia,11965,0.150856665273715,0.4610112829084831,0.3881320518178019,0.682741328875888,0.21671541997492688,0.03944839114082741,0.0034266610948600084,0.057668198913497705,0.03513484474051789,0.8588159449876437,0.3385623724078651,0.13785322875255185,0.0
51135,Nottoway County,Virginia,15667,0.19333631199336185,0.6188804493521415,0.18778323865449673,0.5415842216123061,0.39592774621816557,0.04755217974085658,0.00440416161358269,0.010531690815089041,0.059762369214399716,0.7367441035644617,0.16323816279482178,0.04415676538393332,0.47659999999999997
51143,Pittsylvania County,Virginia,60833,0.18785856360856773,0.5840579948383279,0.2280834415531044,0.7379054131803462,0.1979188927062614,0.02812618151332336,0.003780842634754163,0.032268669965314876,0.057008600053196204,0.7608608919230428,0.1424328397907616,0.04240180867098147,0.1437
51145,Powhatan County,Virginia,29979,0.18209413255945828,0.6294072517428867,0.18849861569765503,0.8533306647986925,0.09056339437606324,0.02361653157210047,0.0019013309316521566,0.03058807832149171,0.019050150629097998,0.8329346092503987,0.31069466595782386,0.0960482013113592,0.0032
51147,Prince Edward County,Virginia,21887,0.1564855850504866,0.6814090556037831,0.16210535934573034,0.6078494083245762,0.3100013706766574,0.03285055055512404,0.008863709051034861,0.04043496139260749,0.05596242636522847,0.7815634453112562,0.24996019742079287,0.0968794777901608,0.3679
51149,Prince George County,Virginia,42170,0.22224330092482808,0.636755987668959,0.14100071140621295,0.5414038415935499,0.3000948541617263,0.08676784443917476,0.015152952335783733,0.056580507469765236,0.030111804650524727,0.8103436449687907,0.24401536456547088,0.07130118663831539,0.466
51159,Richmond County,Virginia,8902,0.16726578297011907,0.6250280835767243,0.20770613345315658,0.6023365535834644,0.2706133453156594,0.07380363963154347,0.00044933722758930576,0.05279712424174343,0.06676363636363636,0.6773818181818182,0.1746909090909091,0.07330909090909091,0.0
51175,Southampton County,Virginia,18028,0.19286665187486132,0.6056134901264699,0.20151985799866873,0.6081096072775682,0.31606390059906814,0.020357222098957177,0.002440647881073885,0.05302862214333259,0.04899544402121144,0.7868399432369856,0.19284487265665845,0.06706998282171932,0.0204
51177,Spotsylvania County,Virginia,138493,0.24821471121284108,0.609409861870275,0.14237542691688387,0.6600405796682864,0.1609828655599922,0.10713898897417198,0.02564028506855942,0.04619728072898991,0.026520135458682946,0.8766635749875973,0.33452686525312225,0.12952697310239208,0.6767000000000001
51179,Stafford County,Virginia,154204,0.2617960623589531,0.6337319395087028,0.10447199813234417,0.5829745013099531,0.17946356774143343,0.14107286451713316,0.03234027651682187,0.0641487899146585,0.026461762298808766,0.9020439917957422,0.4230850838107363,0.16521677629252424,0.8025
51181,Surry County,Virginia,6563,0.17644369952765504,0.59576413225659,0.227792168215755,0.5322261161054396,0.4321194575651379,0.027274112448575347,0.001066585403016913,0.007313728477830261,0.04303030303030303,0.8004040404040405,0.22626262626262628,0.05898989898989899,0.0
51183,Sussex County,Virginia,10960,0.1573905109489051,0.6663321167883212,0.17627737226277373,0.3883211678832117,0.5590328467153285,0.032481751824817516,0.003010948905109489,0.017153284671532848,0.05742038608139678,0.6873232509529079,0.13193163654248125,0.040698389278249106,0.0
51193,Westmoreland County,Virginia,18324,0.1865858982754857,0.5591573892163283,0.254256712508186,0.6331586989740231,0.2549661645928836,0.06597904387688278,0.010259768609473915,0.03563632394673652,0.05975369817095387,0.7915178896742695,0.16534285506084676,0.0663849012606573,0.2116
51199,York County,Virginia,69635,0.23794069074459684,0.5983485316292094,0.16371077762619374,0.6906009908810224,0.12984849572772314,0.07046743735190637,0.05336396926832771,0.05571910677102032,0.01757249448872308,0.9295616415126335,0.48537391894183485,0.22030269628624724,0.9390000000000001
51550,Chesapeake City,Virginia,247172,0.24410127360704287,0.6228011263411714,0.1330976000517858,0.5575752916997071,0.28799378570388234,0.06814283171232988,0.03428786432120143,0.05200022656287929,0.02095298808614541,0.8975444589450134,0.35485364782862333,0.1324476626352412,
51570,Colonial Heights City,Virginia,18127,0.2330777293540023,0.5786947647156175,0.1882275059303801,0.703039664588735,0.1621338335080267,0.0673029182986705,0.03547194792298781,0.03205163568157996,0.03644646924829157,0.8705521954284816,0.25944544811876524,0.10611892231560757,
51590,Danville City,Virginia,42556,0.22114390450230284,0.5758529937024156,0.2030031017952815,0.4089435097283579,0.48897922737099353,0.04749036563586803,0.013300122191935332,0.04128677507284519,0.05132797188619315,0.7814421842265324,0.18105021288098938,0.07271744272487667,
51595,Emporia City,Virginia,5761,0.28710293351848637,0.5464329109529595,0.16646415552855406,0.19510501649019268,0.6347856274952265,0.07897934386391252,0.0,0.0911300121506683,0.09968684759916492,0.6980688935281837,0.12343423799582463,0.050887265135699376,
51620,Franklin City,Virginia,8249,0.2573645290338223,0.543823493756819,0.1988119772093587,0.37556067402109344,0.5330343071887501,0.029458116135289127,0.027518487089344162,0.03442841556552309,0.04628185127405096,0.7912983185994107,0.21043508407002948,0.08996359854394176,
51630,Fredericksburg City,Virginia,28027,0.2093695365183573,0.6805580333250081,0.11007243015663468,0.5798337317586613,0.19955756948656653,0.11335497912727013,0.03478788311271274,0.07246583651478931,0.04717092803030303,0.8661813446969697,0.4267874053030303,0.19785748106060605,
