FIPS,Tract,County,State,measure,value
51087200417,Census Tract 2004.17,Henrico County,Virginia,Total,2134.0
51087200418,Census Tract 2004.18,Henrico County,Virginia,Total,3385.0
51087200501,Census Tract 2005.01,Henrico County,Virginia,Total,2053.0
51087200502,Census Tract 2005.02,Henrico County,Virginia,Total,2075.0
51087200503,Census Tract 2005.03,Henrico County,Virginia,Total,4412.0
51087200600,Census Tract 2006,Henrico County,Virginia,Total,5134.0
51087200700,Census Tract 2007,Henrico County,Virginia,Total,3629.0
51087200801,Census Tract 2008.01,Henrico County,Virginia,Total,3172.0
51087200802,Census Tract 2008.02,Henrico County,Virginia,Total,1754.0
51087200805,Census Tract 2008.05,Henrico County,Virginia,Total,4428.0
51087200806,Census Tract 2008.06,Henrico County,Virginia,Total,2311.0
51087200807,Census Tract 2008.07,Henrico County,Virginia,Total,4545.0
51087200904,Census Tract 2009.04,Henrico County,Virginia,Total,6128.0
51087200905,Census Tract 2009.05,Henrico County,Virginia,Total,5224.0
51087200906,Census Tract 2009.06,Henrico County,Virginia,Total,4359.0
51087200907,Census Tract 2009.07,Henrico County,Virginia,Total,4163.0
51087200908,Census Tract 2009.08,Henrico County,Virginia,Total,2827.0
51087201001,Census Tract 2010.01,Henrico County,Virginia,Total,6530.0
51087201002,Census Tract 2010.02,Henrico County,Virginia,Total,3352.0
51087201003,Census Tract 2010.03,Henrico County,Virginia,Total,6787.0
51087201102,Census Tract 2011.02,Henrico County,Virginia,Total,4484.0
51087201103,Census Tract 2011.03,Henrico County,Virginia,Total,3329.0
51087201104,Census Tract 2011.04,Henrico County,Virginia,Total,3179.0
51087201203,Census Tract 2012.03,Henrico County,Virginia,Total,2461.0
51087201204,Census Tract 2012.04,Henrico County,Virginia,Total,3605.0
51087201205,Census Tract 2012.05,Henrico County,Virginia,Total,3449.0
51087201206,Census Tract 2012.06,Henrico County,Virginia,Total,2615.0
51087201403,Census Tract 2014.03,Henrico County,Virginia,Total,5546.0
51087201404,Census Tract 2014.04,Henrico County,Virginia,Total,4569.0
51087201405,Census Tract 2014.05,Henrico County,Virginia,Total,2379.0
51087201406,Census Tract 2014.06,Henrico County,Virginia,Total,3708.0
51087201502,Census Tract 2015.02,Henrico County,Virginia,Total,5515.0
51087201503,Census Tract 2015.03,Henrico County,Virginia,Total,5311.0
51087201504,Census Tract 2015.04,Henrico County,Virginia,Total,3813.0
51087201601,Census Tract 2016.01,Henrico County,Virginia,Total,3592.0
51087201602,Census Tract 2016.02,Henrico County,Virginia,Total,4982.0
