FIPS,Tract,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Uninsured
51029930202,Census Tract 9302.02,Buckingham County,Virginia,0.8875791311940624,0.2196027068325693,0.4575,53520.0,0.593646408839779,0.04094927873429502,0.07962085308056872,0.2227862380146644,0.1124208688059376
51031020101,Census Tract 201.01,Campbell County,Virginia,0.9013469239170003,0.13906079359301055,0.4186,48307.0,0.5620653319283456,0.031121109861267343,0.09627329192546584,0.09924528301886792,0.09865307608299967
51031020102,Census Tract 201.02,Campbell County,Virginia,0.9248977835162471,0.18678717452119648,0.3723,65347.0,0.6274074074074074,0.048799685163321525,0.04996156802459646,0.1265746850629874,0.07510221648375293
51031020200,Census Tract 202,Campbell County,Virginia,0.9794246176256373,0.12909686817188637,0.4225,55995.0,0.609015639374425,0.03474320241691843,0.0892018779342723,0.05173951828724353,0.02057538237436274
51031020300,Census Tract 203,Campbell County,Virginia,0.9618320610687023,0.06692111959287532,0.3419,69694.0,0.61415596617601,0.08261091279959204,0.029469548133595286,0.027155465037338764,0.03816793893129766
51031020401,Census Tract 204.01,Campbell County,Virginia,0.8608597285067874,0.16606334841628959,0.3759,51084.0,0.6734856535600425,0.022090729783037475,0.014883720930232559,0.08664627930682976,0.13914027149321262
51031020402,Census Tract 204.02,Campbell County,Virginia,0.927049897869857,0.06565509191712868,0.3944,64190.0,0.6672349130583021,0.045988758303525806,0.014705882352941176,0.07298772169167804,0.07295010213014297
51031020403,Census Tract 204.03,Campbell County,Virginia,0.9720978298312091,0.06321047192559422,0.4156,64470.0,0.6877514528386232,0.008124796880077998,0.012947448591012947,0.023148148148148147,0.02790217016879093
51031020500,Census Tract 205,Campbell County,Virginia,0.9013670627315702,0.17899578382522038,0.3952,51731.0,0.5570308750599904,0.03015508328546812,0.046430354468297554,0.14732142857142858,0.09863293726842981
51031020600,Census Tract 206,Campbell County,Virginia,0.9201937786843447,0.2136664966853646,0.5112,60804.0,0.5428903751090434,0.059989287627209426,0.05391658189216684,0.1171409662475182,0.07980622131565529
51031020700,Census Tract 207,Campbell County,Virginia,0.8979776637488681,0.2384545728946574,0.457,35438.0,0.591799709724238,0.1213979153893317,0.13706793802145412,0.21375186846038863,0.10202233625113188
51031020800,Census Tract 208,Campbell County,Virginia,0.8643197653098643,0.21122112211221122,0.4333,46066.0,0.5004288164665524,0.03598971722365039,0.042787286063569685,0.1376994122586062,0.13568023469013568
51031020900,Census Tract 209,Campbell County,Virginia,0.8911035488575596,0.24720466699076324,0.4291,51711.0,0.5202005308168682,0.06405895691609978,0.14689265536723164,0.23279473369239975,0.1088964511424404
51033030100,Census Tract 301,Caroline County,Virginia,0.9221251819505094,0.18874332848131975,0.4147,76742.0,0.6564802182810369,0.03283458021612635,0.032467532467532464,0.1416515973477999,0.07787481804949059
51033030201,Census Tract 302.01,Caroline County,Virginia,0.9423558897243107,0.1068295739348371,0.4103,93141.0,0.7616538305634374,0.025545502927088876,0.008045977011494253,0.10209424083769633,0.057644110275689275
51033030202,Census Tract 302.02,Caroline County,Virginia,0.9658875552747946,0.18698673404927352,0.4466,67598.0,0.5442379182156134,0.06557377049180328,0.1271186440677966,0.08701657458563536,0.03411244472520536
51033030300,Census Tract 303,Caroline County,Virginia,0.9305392731535757,0.19490035169988276,0.4108,70572.0,0.5871698113207547,0.05334190231362468,0.15483870967741936,0.14533132530120482,0.06946072684642435
51033030400,Census Tract 304,Caroline County,Virginia,0.8849516797054763,0.1951219512195122,0.4241,74758.0,0.6335877862595419,0.05421686746987952,0.07233273056057866,0.12857142857142856,0.11504832029452372
51033030501,Census Tract 305.01,Caroline County,Virginia,0.9323943661971831,0.030751173708920186,0.323,96765.0,0.7253542357552005,0.06483790523690773,0.04448563484708063,0.0172209026128266,0.06760563380281692
51033030502,Census Tract 305.02,Caroline County,Virginia,0.9208587665754578,0.11008208798147759,0.3928,79293.0,0.6554756195043965,0.017479674796747967,0.0457957957957958,0.04689265536723164,0.07914123342454216
51033030503,Census Tract 305.03,Caroline County,Virginia,0.9656799656799657,0.18747318747318747,0.6132,39782.0,0.5873460246360582,0.027645376549094377,0.11385459533607682,0.15272727272727274,0.034320034320034276
51033030600,Census Tract 306,Caroline County,Virginia,0.9411571334648258,0.1452991452991453,0.3692,79911.0,0.6400313356835096,0.05263157894736842,0.034858387799564274,0.12457044673539519,0.05884286653517423
51036600100,Census Tract 6001,Charles City County,Virginia,0.9266123054114158,0.16567828020756115,0.5896,61012.0,0.6221837088388215,0.019498607242339833,0.11475409836065574,0.1327659574468085,0.07338769458858418
51036600200,Census Tract 6002,Charles City County,Virginia,0.9253300330033003,0.15676567656765678,0.4238,62321.0,0.5480494766888677,0.05295138888888889,0.09188361408882083,0.0975609756097561,0.0746699669966997
51036600300,Census Tract 6003,Charles City County,Virginia,0.9087136929460581,0.17901600474214582,0.4826,52061.0,0.5374420145791915,0.030826140567200986,0.08466819221967964,0.18369987063389392,0.09128630705394192
51037930101,Census Tract 9301.01,Charlotte County,Virginia,0.917981072555205,0.34209603925692256,0.4273,34442.0,0.5564220183486238,0.038746908491343775,0.16129032258064516,0.284941388638413,0.082018927444795
51037930102,Census Tract 9301.02,Charlotte County,Virginia,0.9027839151568714,0.16349977905435262,0.4812,43065.0,0.4571586511885019,0.0012091898428053204,0.34609250398724084,0.20633397312859886,0.0972160848431286
51037930200,Census Tract 9302,Charlotte County,Virginia,0.8976982097186701,0.18998903909389842,0.4015,63640.0,0.5488945578231292,0.021688613477924088,0.057455540355677154,0.1281809613572102,0.10230179028132991
51037930300,Census Tract 9303,Charlotte County,Virginia,0.8792484111633048,0.23542415031776734,0.5199,51700.0,0.539065165472535,0.07974683544303797,0.12254901960784313,0.20875179340028693,0.12075158883669523
