FIPS,County,State,measure,value
51740,Portsmouth City,Virginia,Over 64,0.1480082910911815
51760,Richmond City,Virginia,Over 64,0.13230028890976445
51800,Suffolk City,Virginia,Over 64,0.14400437449071493
51810,Virginia Beach City,Virginia,Over 64,0.14324888890831144
51830,Williamsburg City,Virginia,Over 64,0.1664161056278188
51001,Accomack County,Virginia,White,0.5969809512399664
51007,Amelia County,Virginia,White,0.7332072617246596
51011,Appomattox County,Virginia,White,0.765072635451088
51025,Brunswick County,Virginia,White,0.40663176265270506
51029,Buckingham County,Virginia,White,0.6119296577946768
51031,Campbell County,Virginia,White,0.7826469742705189
51033,Caroline County,Virginia,White,0.6306665370532387
51036,Charles City County,Virginia,White,0.4314214463840399
51037,Charlotte County,Virginia,White,0.6803963808703145
51041,Chesterfield County,Virginia,White,0.6002145648391598
51049,Cumberland County,Virginia,White,0.6348122866894198
51053,Dinwiddie County,Virginia,White,0.6220042796005706
51057,Essex County,Virginia,White,0.5406270595989078
51073,Gloucester County,Virginia,White,0.8356657855180636
51075,Goochland County,Virginia,White,0.7733333333333333
51081,Greensville County,Virginia,White,0.35961622328826864
51083,Halifax County,Virginia,White,0.5958864087881267
51085,Hanover County,Virginia,White,0.8273674381133733
51087,Henrico County,Virginia,White,0.5146569696677553
51089,Henry County,Virginia,White,0.691387512970613
51093,Isle Of Wight County,Virginia,White,0.6979191143834365
51095,James City County,Virginia,White,0.7428119331558025
51097,King And Queen County,Virginia,White,0.6600896860986547
51099,King George County,Virginia,White,0.7137271120803098
51101,King William County,Virginia,White,0.7718005824910057
51103,Lancaster County,Virginia,White,0.6705753023085379
51109,Louisa County,Virginia,White,0.7682033606204223
51111,Lunenburg County,Virginia,White,0.5862126523118011
51115,Mathews County,Virginia,White,0.8461628451099672
51117,Mecklenburg County,Virginia,White,0.6030909150822157
